grid_id,existing_lx,recommended_lx,delta_percent,keep_hours,reason_1,reason_2,reason_3,reasons
0,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
1,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
2,10.0,9.075,-9.254,3,night_traffic|야간교통량|DOWN,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""DOWN""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
3,10.0,9.075,-9.254,3,night_traffic|야간교통량|DOWN,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""DOWN""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
4,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
5,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
6,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
7,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
8,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
9,10.0,7.36,-26.398,3,night_traffic|야간교통량|DOWN,residential_density|주택밀집도|DOWN,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""DOWN""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""DOWN""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
