grid_id	cctv_density	park_within	commercial_density	residential_density	night_traffic	existing_lx
0	0	0	0.333333333	0.25462963	0.759259259	25
1	0	0	0.333333333	0.25462963	0.759259259	25
2	0	0	0.333333333	0.25462963	0.009259259	10
3	0	0	0.333333333	0.25462963	0.009259259	10
4	0	0	0.333333333	0.25462963	0.759259259	25
5	0	0	0.333333333	0.25462963	0.759259259	25
6	0	0	0.333333333	0.25462963	0.759259259	25
7	0	0	0.333333333	0.25462963	0.759259259	25
8	0	0	0.333333333	0.25462963	0.759259259	25
9	0	0	0.333333333	0.925925926	0.009259259	10
10	0	0	0.333333333	0.25462963	0.759259259	25
11	0	0	0.333333333	0.25462963	0.759259259	25
12	0	0	0.333333333	0.25462963	0.759259259	25
13	0.085714286	0	0.333333333	0.25462963	0.759259259	25
14	0	0	0.333333333	0.25462963	0.759259259	25
15	0	0	0.333333333	0.25462963	0.759259259	25
16	0	0	0.333333333	0.25462963	0.759259259	25
17	0	0	0.333333333	0.25462963	0.759259259	25
18	0	0	0.333333333	0.25462963	0.759259259	25
19	0	0	0.333333333	0.25462963	0.759259259	25
20	0	0	0.333333333	0.25462963	0.759259259	25
21	0	0	0.333333333	0.25462963	0.759259259	25
22	0	0	0.333333333	0.25462963	0.759259259	25
23	0.085714286	0	0.333333333	0.25462963	0.759259259	25
24	0	0	0.333333333	0.25462963	0.759259259	25
25	0	0	0.333333333	0.25462963	0.759259259	25
26	0	0	0.333333333	0.25462963	0.759259259	25
27	0	0	0.333333333	0.25462963	0.759259259	25
28	0.085714286	0	0.333333333	0.25462963	0.759259259	25
29	0	1	0.333333333	0.25462963	0.759259259	25
30	0.114285714	0	0.722222222	0.648148148	0.759259259	25
31	0.628571429	0	0.685185185	0.731481481	0.759259259	25
32	0	0	0.333333333	0.25462963	0.759259259	25
33	0	0	0.333333333	0.25462963	0.759259259	25
34	0	0	0.333333333	0.25462963	0.759259259	25
35	0	0	0.333333333	0.25462963	0.759259259	25
36	0.114285714	0	0.333333333	0.25462963	0.759259259	25
37	0.285714286	0	0.333333333	0.527777778	0.759259259	10
38	0.171428571	0	0.333333333	0.722222222	0.759259259	10
39	0.457142857	0	0.333333333	0.25462963	0.759259259	25
40	0.857142857	0	0.875	0.634259259	0.759259259	25
41	0.771428571	0	0.898148148	0.666666667	0.759259259	25
42	0.285714286	0	0.333333333	0.518518519	0.759259259	10
43	0	0	0.333333333	0.25462963	0.759259259	25
44	0	0	0.333333333	0.25462963	0.361111111	10
45	0	0	0.333333333	0.25462963	0.361111111	10
46	0.485714286	0	0.694444444	0.944444444	0.759259259	15
47	0.742857143	0	0.333333333	0.805555556	0.759259259	10
48	0.657142857	0	0.791666667	0.87962963	0.759259259	25
49	0.371428571	0	0.833333333	0.62037037	0.759259259	25
50	0.885714286	0	0.333333333	0.953703704	0.759259259	10
51	0.657142857	0	0.333333333	0.861111111	0.759259259	10
52	0.485714286	0	0.333333333	0.972222222	0.759259259	10
53	0.257142857	0	0.333333333	0.25462963	0.759259259	25
54	0	0	0.333333333	0.25462963	0.361111111	10
55	0	0	0.333333333	0.25462963	0.361111111	10
56	0.914285714	0	0.333333333	0.990740741	0.361111111	10
57	0.657142857	0	0.981481481	0.87037037	0.361111111	25
58	0.771428571	0	0.962962963	0.851851852	0.759259259	25
59	1	0	0.333333333	0.694444444	0.759259259	10
60	0.4	0	0.875	0.634259259	0.759259259	25
61	0.571428571	0	0.888888889	0.898148148	0.759259259	25
62	0.657142857	0	0.972222222	0.675925926	0.115740741	25
63	0.114285714	0	0.333333333	0.25462963	0.115740741	10
64	0	0	0.333333333	0.25462963	0.361111111	10
65	0	0	0.333333333	0.25462963	0.361111111	10
66	0.2	0	0.712962963	0.555555556	0.361111111	25
67	0.742857143	0	0.740740741	0.814814815	0.361111111	15
68	0.771428571	0	0.777777778	0.601851852	0.361111111	25
69	0.542857143	0	0.333333333	0.768518519	0.361111111	10
70	0.942857143	1	0.912037037	0.824074074	0.361111111	25
71	0.428571429	0	0.333333333	0.25462963	0.115740741	10
72	0.6	0	0.333333333	0.703703704	0.115740741	10
73	0.571428571	0	0.810185185	0.25462963	0.115740741	25
74	0	0	0.333333333	0.25462963	0.115740741	10
75	0	0	0.333333333	0.25462963	0.361111111	10
76	0	0	0.333333333	0.25462963	0.361111111	10
77	0.314285714	0	0.675925926	0.796296296	0.361111111	10
78	1	0	1	0.888888889	0.361111111	25
79	0.571428571	0	0.768518519	0.574074074	0.361111111	25
80	0.628571429	0	0.925925926	0.907407407	0.361111111	25
81	0.571428571	0	0.953703704	0.546296296	0.361111111	25
82	0.6	0	0.944444444	0.916666667	0.115740741	15
83	0.685714286	0	0.990740741	0.962962963	0.115740741	15
84	0.085714286	0	0.851851852	0.685185185	0.115740741	25
85	0	0	0.333333333	0.25462963	0.361111111	10
86	0	0	0.333333333	0.25462963	0.361111111	10
87	0.2	0	0.861111111	0.759259259	0.361111111	25
88	0.971428571	0	0.759259259	1	0.361111111	10
89	0.6	0	0.333333333	0.740740741	0.361111111	10
90	0.428571429	0	0.333333333	0.564814815	0.361111111	10
91	0.771428571	0	0.935185185	0.25462963	0.361111111	25
92	0.4	0	0.333333333	0.712962963	0.115740741	10
93	0.228571429	0	0.333333333	0.75	0.115740741	10
94	0.171428571	0	0.333333333	0.842592593	0.361111111	10
95	0.314285714	0	0.703703704	0.592592593	0.361111111	25
96	0.4	0	0.333333333	0.777777778	0.361111111	10
97	0.685714286	0	0.333333333	0.25462963	0.361111111	10
98	0.371428571	0	0.912037037	0.25462963	0.115740741	25
99	0.628571429	0	0.810185185	0.611111111	0.115740741	25
100	0.2	0	0.333333333	0.537037037	0.115740741	10
101	0	0	0.75	0.935185185	0.361111111	10
102	0.228571429	0	0.333333333	0.787037037	0.361111111	10
103	0.428571429	0	0.731481481	0.657407407	0.115740741	15
104	0.171428571	0	0.333333333	0.25462963	0.115740741	10
105	0.2	0	0.333333333	0.583333333	0.115740741	10
106	0	0	0.842592593	0.981481481	0.115740741	10
107	0.285714286	0	0.791666667	0.833333333	0.115740741	10
108	0.142857143	0	0.824074074	0.25462963	0.115740741	25
